customer_id,last_active_days,account_age_days,actual_lost,segment
1,10,365,0,SMB
2,11,365,0,ENT
3,12,365,0,MID
4,13,365,0,SMB
5,14,365,0,ENT
6,15,365,0,MID
7,16,365,0,SMB
8,17,365,0,ENT
9,18,365,0,MID
10,19,365,0,SMB
11,20,365,0,ENT
12,21,365,0,MID
13,22,365,0,SMB
14,23,365,0,ENT
15,24,365,0,MID
16,25,365,0,SMB
17,26,365,0,ENT
18,27,365,0,MID
19,28,365,0,SMB
20,29,365,0,ENT
21,10,365,0,MID
22,11,365,0,SMB
23,12,365,0,ENT
24,13,365,0,MID
25,14,365,0,SMB
26,15,365,0,ENT
27,16,365,0,MID
28,17,365,0,SMB
29,18,365,0,ENT
30,19,365,0,MID
31,20,365,0,SMB
32,21,365,0,ENT
33,22,365,0,MID
34,23,365,0,SMB
35,24,365,0,ENT
36,25,365,0,MID
37,26,365,0,SMB
38,27,365,0,ENT
39,28,365,0,MID
40,29,365,0,SMB
41,10,365,1,ENT
42,11,365,1,MID
43,12,365,1,SMB
44,13,365,1,ENT
45,14,365,1,MID
46,40,365,1,SMB
47,41,365,1,ENT
48,42,365,1,MID
49,43,365,1,SMB
50,44,365,1,ENT
51,45,365,1,MID
52,46,365,0,SMB
53,47,365,0,ENT
54,48,365,0,MID
55,49,365,0,SMB
56,50,365,0,ENT
57,51,365,0,MID
58,52,365,0,SMB
59,53,365,0,ENT
60,54,365,0,MID
61,70,365,1,SMB
62,71,365,1,ENT
63,72,365,1,MID
64,73,365,1,SMB
65,74,365,1,ENT
66,75,365,1,MID
67,76,365,1,SMB
68,77,365,1,ENT
69,78,365,1,MID
70,79,365,1,SMB
71,80,365,1,ENT
72,81,365,1,MID
73,82,365,1,SMB
74,83,365,1,ENT
75,84,365,1,MID
76,85,365,1,SMB
77,86,365,1,ENT
78,87,365,1,MID
79,88,365,1,SMB
80,89,365,1,ENT
81,90,365,1,MID
82,91,365,1,SMB
83,92,365,1,ENT
84,93,365,1,MID
85,94,365,1,SMB
86,95,365,1,ENT
87,96,365,1,MID
88,97,365,1,SMB
89,98,365,1,ENT
90,99,365,1,MID
91,100,365,1,SMB
92,101,365,1,ENT
93,102,365,1,MID
94,103,365,1,SMB
95,104,365,1,ENT
96,70,365,0,MID
97,71,365,0,SMB
98,72,365,0,ENT
99,73,365,0,MID
100,74,365,0,SMB
